match,second,live_prior,ds_prior,delta_live_prior,delta_ds_prior
grid-2964617-m1,1570,0.49,0.44,-0.00372287013416114,0.02002604667936024
grid-2964617-m1,1570,0.49,0.44,-0.00372287013416114,0.02002604667936024
grid-2964617-m1,1573,0.49,0.44,-0.0033964489691072444,0.02035246784441414
grid-2964617-m1,1575,0.49,0.44,-0.0033964489691072444,0.02035246784441414
grid-2964617-m1,1575,0.49,0.44,-0.0033964489691072444,0.02035246784441414
grid-2964617-m1,1581,0.49,0.44,-0.0033964489691072444,0.02035246784441414
grid-2964617-m1,1583,0.49,0.44,-0.0033964489691072444,0.02035246784441414
grid-2964617-m1,1583,0.49,0.44,-0.0033964489691072444,0.02035246784441414
grid-2964617-m1,1583,0.49,0.44,-0.0033964489691072444,0.02035246784441414
grid-2964617-m1,1587,0.49,0.44,-0.0033964489691072444,0.02035246784441414
grid-2964617-m1,1588,0.49,0.44,-0.0033964489691072444,0.02035246784441414
grid-2964617-m1,1588,0.49,0.44,-0.0033964489691072444,0.02035246784441414
grid-2964617-m1,1591,0.49,0.44,-0.0033964489691072444,0.02035246784441414
grid-2964617-m1,1591,0.49,0.44,-0.0033964489691072444,0.02035246784441414
grid-2964617-m1,1591,0.49,0.44,-0.0033964489691072444,0.02035246784441414
grid-2964617-m1,1594,0.49,0.44,-0.00304769781612535,0.02061291777792644
grid-2964617-m1,1599,0.49,0.44,-0.00304769781612535,0.02061291777792644
grid-2964617-m1,1600,0.49,0.44,-0.0028030417866621122,0.02085757380738968
grid-2964617-m1,1600,0.49,0.44,-0.0028030417866621122,0.02085757380738968
grid-2964617-m1,1604,0.49,0.44,-0.0028030417866621122,0.02085757380738968
grid-2964617-m1,1609,0.49,0.44,-0.0028030417866621122,0.02085757380738968
grid-2964617-m1,1610,0.49,0.44,-0.00304769781612535,0.02061291777792644
grid-2964617-m2,81,0.585,0.575,0.026439368003422885,0.025104953040378103
grid-2964617-m2,89,0.585,0.575,0.01507865510790304,0.01348471173399137
grid-2964617-m2,96,0.585,0.575,-0.013185896966365646,-0.012631156231173373
grid-2964617-m2,103,0.585,0.575,-0.004816301745519379,-0.00576158542340253
grid-2964617-m2,104,0.585,0.575,-0.004740899408349861,-0.005686183086233012
grid-2964617-m2,105,0.585,0.575,-0.0005536484096376662,-0.001749795283781029
grid-2964617-m2,105,0.585,0.575,-0.0005536484096376662,-0.001749795283781029
grid-2964617-m2,114,0.585,0.575,0.002303828043794912,0.0023888176645887804
grid-2964617-m2,115,0.585,0.575,0.008196369794433927,0.008139252214336378
grid-2964617-m2,121,0.585,0.575,0.017186912119340546,0.017133633651232993
grid-2964617-m2,121,0.585,0.575,0.017186912119340546,0.017133633651232993
grid-2964617-m2,122,0.585,0.575,0.019797800968286344,0.01974452250017879
grid-2964617-m2,126,0.585,0.575,0.016987477215656122,0.016934198747548566
grid-2964617-m2,126,0.585,0.575,0.016987477215656122,0.016934198747548566
grid-2964617-m2,136,0.585,0.575,0.016987477215656122,0.016934198747548566
grid-2964617-m2,156,0.585,0.575,0.016998465985270467,0.016969287601480285
grid-2964617-m2,156,0.585,0.575,0.016998465985270467,0.016969287601480285
grid-2964617-m2,157,0.585,0.575,0.016720285952012758,0.016667007483905205
grid-2964617-m2,161,0.585,0.575,0.021524042905639595,0.020189627942594806
grid-2964617-m2,161,0.585,0.575,0.021524042905639595,0.020189627942594806
